school,grade,number_candidates,score,subject,year,area
GREEN LIGHT SECONDARY,C,10,6,christian_religious,2019,kk
GREEN LIGHT SECONDARY,C-,10,5,christian_religious,2019,kk
GREEN LIGHT SECONDARY,D+,7,4,christian_religious,2019,kk
GREEN LIGHT SECONDARY,D,65,3,christian_religious,2019,kk
GREEN LIGHT SECONDARY,D-,70,2,christian_religious,2019,kk
GREEN LIGHT SECONDARY,E,81,1,christian_religious,2019,kk
GREEN LIGHT SECONDARY,X,6,0,christian_religious,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,christian_religious,2019,kk
GREEN LIGHT SECONDARY,U,0,0,christian_religious,2019,kk
GREEN LIGHT SECONDARY,P,1,0,christian_religious,2019,kk
GREEN LIGHT SECONDARY,W,0,0,christian_religious,2019,kk
SOMALI BANTU SECONDARY,A,0,12,christian_religious,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,christian_religious,2019,kk
SOMALI BANTU SECONDARY,B+,0,10,christian_religious,2019,kk
SOMALI BANTU SECONDARY,B,6,9,christian_religious,2019,kk
SOMALI BANTU SECONDARY,B-,8,8,christian_religious,2019,kk
SOMALI BANTU SECONDARY,C+,16,7,christian_religious,2019,kk
SOMALI BANTU SECONDARY,C,18,6,christian_religious,2019,kk
SOMALI BANTU SECONDARY,C-,18,5,christian_religious,2019,kk
SOMALI BANTU SECONDARY,D+,15,4,christian_religious,2019,kk
SOMALI BANTU SECONDARY,D,96,3,christian_religious,2019,kk
SOMALI BANTU SECONDARY,D-,96,2,christian_religious,2019,kk
SOMALI BANTU SECONDARY,E,68,1,christian_religious,2019,kk
SOMALI BANTU SECONDARY,X,17,0,christian_religious,2019,kk
SOMALI BANTU SECONDARY,Y,2,0,christian_religious,2019,kk
SOMALI BANTU SECONDARY,U,0,0,christian_religious,2019,kk
SOMALI BANTU SECONDARY,P,0,0,christian_religious,2019,kk
SOMALI BANTU SECONDARY,W,0,0,christian_religious,2019,kk
KALOBEYEI SECONDARY,A,0,12,christian_religious,2019,kk
KALOBEYEI SECONDARY,A-,0,11,christian_religious,2019,kk
KALOBEYEI SECONDARY,B+,0,10,christian_religious,2019,kk
KALOBEYEI SECONDARY,B,0,9,christian_religious,2019,kk
KALOBEYEI SECONDARY,B-,0,8,christian_religious,2019,kk
KALOBEYEI SECONDARY,C+,2,7,christian_religious,2019,kk
KALOBEYEI SECONDARY,C,3,6,christian_religious,2019,kk
KALOBEYEI SECONDARY,C-,0,5,christian_religious,2019,kk
KALOBEYEI SECONDARY,D+,1,4,christian_religious,2019,kk
KALOBEYEI SECONDARY,D,21,3,christian_religious,2019,kk
KALOBEYEI SECONDARY,D-,13,2,christian_religious,2019,kk
KALOBEYEI SECONDARY,E,10,1,christian_religious,2019,kk
KALOBEYEI SECONDARY,X,0,0,christian_religious,2019,kk
KALOBEYEI SECONDARY,Y,0,0,christian_religious,2019,kk
KALOBEYEI SECONDARY,U,0,0,christian_religious,2019,kk
KALOBEYEI SECONDARY,P,0,0,christian_religious,2019,kk
KALOBEYEI SECONDARY,W,0,0,christian_religious,2019,kk
MORNEU SHEPPELL SECONDARY,A,1,12,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,B+,2,10,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,B,0,9,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,B-,1,8,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,C+,1,7,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,C,1,6,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,C-,0,5,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,D+,0,4,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,D,1,3,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,D-,0,2,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,E,0,1,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,X,0,0,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,islamic_religious,2019,kk
VISION SECONDARY,A,0,12,islamic_religious,2019,kk
VISION SECONDARY,A-,0,11,islamic_religious,2019,kk
VISION SECONDARY,B+,0,10,islamic_religious,2019,kk
VISION SECONDARY,B,1,9,islamic_religious,2019,kk
VISION SECONDARY,B-,1,8,islamic_religious,2019,kk
VISION SECONDARY,C+,0,7,islamic_religious,2019,kk
VISION SECONDARY,C,0,6,islamic_religious,2019,kk
VISION SECONDARY,C-,2,5,islamic_religious,2019,kk
VISION SECONDARY,D+,2,4,islamic_religious,2019,kk
VISION SECONDARY,D,4,3,islamic_religious,2019,kk
VISION SECONDARY,D-,4,2,islamic_religious,2019,kk
VISION SECONDARY,E,16,1,islamic_religious,2019,kk
VISION SECONDARY,X,0,0,islamic_religious,2019,kk
VISION SECONDARY,Y,0,0,islamic_religious,2019,kk
VISION SECONDARY,U,0,0,islamic_religious,2019,kk
VISION SECONDARY,P,0,0,islamic_religious,2019,kk
VISION SECONDARY,W,0,0,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,B,0,9,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,B-,0,8,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,C+,3,7,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,C,0,6,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,C-,1,5,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,D+,2,4,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,D,27,3,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,D-,32,2,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,E,12,1,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,islamic_religious,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,A,0,12,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,B,0,9,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,B-,0,8,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,C+,0,7,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,C,1,6,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,C-,0,5,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,D+,0,4,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,D,18,3,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,D-,25,2,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,E,42,1,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,X,3,0,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,U,0,0,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,P,0,0,islamic_religious,2019,kk
GREEN LIGHT SECONDARY,W,0,0,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,A,0,12,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,A-,1,11,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,B+,0,10,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,B,1,9,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,B-,1,8,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,C+,1,7,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,C,4,6,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,C-,5,5,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,D+,3,4,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,D,30,3,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,D-,38,2,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,E,82,1,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,X,5,0,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,Y,1,0,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,U,0,0,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,P,0,0,islamic_religious,2019,kk
SOMALI BANTU SECONDARY,W,0,0,islamic_religious,2019,kk
KALOBEYEI SECONDARY,A,0,12,islamic_religious,2019,kk
KALOBEYEI SECONDARY,A-,0,11,islamic_religious,2019,kk
KALOBEYEI SECONDARY,B+,0,10,islamic_religious,2019,kk
KALOBEYEI SECONDARY,B,0,9,islamic_religious,2019,kk
KALOBEYEI SECONDARY,B-,0,8,islamic_religious,2019,kk
KALOBEYEI SECONDARY,C+,0,7,islamic_religious,2019,kk
KALOBEYEI SECONDARY,C,0,6,islamic_religious,2019,kk
KALOBEYEI SECONDARY,C-,0,5,islamic_religious,2019,kk
KALOBEYEI SECONDARY,D+,1,4,islamic_religious,2019,kk
KALOBEYEI SECONDARY,D,0,3,islamic_religious,2019,kk
KALOBEYEI SECONDARY,D-,3,2,islamic_religious,2019,kk
KALOBEYEI SECONDARY,E,3,1,islamic_religious,2019,kk
KALOBEYEI SECONDARY,X,0,0,islamic_religious,2019,kk
KALOBEYEI SECONDARY,Y,0,0,islamic_religious,2019,kk
KALOBEYEI SECONDARY,U,0,0,islamic_religious,2019,kk
KALOBEYEI SECONDARY,P,0,0,islamic_religious,2019,kk
KALOBEYEI SECONDARY,W,0,0,islamic_religious,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,B+,0,10,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,B,0,9,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,B-,0,8,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,C+,2,7,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,C,0,6,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,C-,1,5,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,D+,1,4,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,D,5,3,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,D-,1,2,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,E,0,1,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,X,0,0,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,agriculture,2019,kk
VISION SECONDARY,A,0,12,agriculture,2019,kk
VISION SECONDARY,A-,0,11,agriculture,2019,kk
VISION SECONDARY,B+,0,10,agriculture,2019,kk
VISION SECONDARY,B,0,9,agriculture,2019,kk
VISION SECONDARY,B-,1,8,agriculture,2019,kk
VISION SECONDARY,C+,0,7,agriculture,2019,kk
VISION SECONDARY,C,1,6,agriculture,2019,kk
VISION SECONDARY,C-,1,5,agriculture,2019,kk
VISION SECONDARY,D+,3,4,agriculture,2019,kk
VISION SECONDARY,D,20,3,agriculture,2019,kk
VISION SECONDARY,D-,51,2,agriculture,2019,kk
VISION SECONDARY,E,12,1,agriculture,2019,kk
VISION SECONDARY,X,4,0,agriculture,2019,kk
VISION SECONDARY,Y,0,0,agriculture,2019,kk
VISION SECONDARY,U,0,0,agriculture,2019,kk
VISION SECONDARY,P,0,0,agriculture,2019,kk
VISION SECONDARY,W,0,0,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,B,0,9,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,B-,0,8,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,C+,0,7,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,C,0,6,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,C-,0,5,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,D+,0,4,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,D,8,3,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,D-,28,2,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,E,46,1,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,agriculture,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,agriculture,2019,kk
GREEN LIGHT SECONDARY,A,0,12,agriculture,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,agriculture,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,agriculture,2019,kk
GREEN LIGHT SECONDARY,B,0,9,agriculture,2019,kk
GREEN LIGHT SECONDARY,B-,0,8,agriculture,2019,kk
GREEN LIGHT SECONDARY,C+,0,7,agriculture,2019,kk
GREEN LIGHT SECONDARY,C,0,6,agriculture,2019,kk
GREEN LIGHT SECONDARY,C-,0,5,agriculture,2019,kk
GREEN LIGHT SECONDARY,D+,0,4,agriculture,2019,kk
GREEN LIGHT SECONDARY,D,1,3,agriculture,2019,kk
GREEN LIGHT SECONDARY,D-,7,2,agriculture,2019,kk
GREEN LIGHT SECONDARY,E,35,1,agriculture,2019,kk
GREEN LIGHT SECONDARY,X,1,0,agriculture,2019,kk
GREEN LIGHT SECONDARY,Y,1,0,agriculture,2019,kk
GREEN LIGHT SECONDARY,U,0,0,agriculture,2019,kk
GREEN LIGHT SECONDARY,P,0,0,agriculture,2019,kk
GREEN LIGHT SECONDARY,W,0,0,agriculture,2019,kk
SOMALI BANTU SECONDARY,A,0,12,agriculture,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,agriculture,2019,kk
SOMALI BANTU SECONDARY,B+,0,10,agriculture,2019,kk
SOMALI BANTU SECONDARY,B,1,9,agriculture,2019,kk
SOMALI BANTU SECONDARY,B-,0,8,agriculture,2019,kk
SOMALI BANTU SECONDARY,C+,1,7,agriculture,2019,kk
SOMALI BANTU SECONDARY,C,2,6,agriculture,2019,kk
SOMALI BANTU SECONDARY,C-,0,5,agriculture,2019,kk
SOMALI BANTU SECONDARY,D+,0,4,agriculture,2019,kk
SOMALI BANTU SECONDARY,D,10,3,agriculture,2019,kk
SOMALI BANTU SECONDARY,D-,18,2,agriculture,2019,kk
SOMALI BANTU SECONDARY,E,21,1,agriculture,2019,kk
SOMALI BANTU SECONDARY,X,0,0,agriculture,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,agriculture,2019,kk
SOMALI BANTU SECONDARY,U,0,0,agriculture,2019,kk
SOMALI BANTU SECONDARY,P,0,0,agriculture,2019,kk
SOMALI BANTU SECONDARY,W,0,0,agriculture,2019,kk
KALOBEYEI SECONDARY,A,0,12,agriculture,2019,kk
KALOBEYEI SECONDARY,A-,0,11,agriculture,2019,kk
KALOBEYEI SECONDARY,B+,0,10,agriculture,2019,kk
KALOBEYEI SECONDARY,B,0,9,agriculture,2019,kk
KALOBEYEI SECONDARY,B-,0,8,agriculture,2019,kk
KALOBEYEI SECONDARY,C+,0,7,agriculture,2019,kk
KALOBEYEI SECONDARY,C,0,6,agriculture,2019,kk
KALOBEYEI SECONDARY,C-,0,5,agriculture,2019,kk
KALOBEYEI SECONDARY,D+,0,4,agriculture,2019,kk
KALOBEYEI SECONDARY,D,0,3,agriculture,2019,kk
KALOBEYEI SECONDARY,D-,3,2,agriculture,2019,kk
KALOBEYEI SECONDARY,E,2,1,agriculture,2019,kk
KALOBEYEI SECONDARY,X,0,0,agriculture,2019,kk
KALOBEYEI SECONDARY,Y,0,0,agriculture,2019,kk
KALOBEYEI SECONDARY,U,0,0,agriculture,2019,kk
KALOBEYEI SECONDARY,P,0,0,agriculture,2019,kk
KALOBEYEI SECONDARY,W,0,0,agriculture,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,B+,1,10,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,B,2,9,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,B-,5,8,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,C+,5,7,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,C,3,6,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,C-,2,5,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,D+,3,4,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,D,10,3,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,D-,8,2,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,E,5,1,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,X,0,0,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,business_studies,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,business_studies,2019,kk
VISION SECONDARY,A,0,12,business_studies,2019,kk
VISION SECONDARY,A-,2,11,business_studies,2019,kk
VISION SECONDARY,B+,0,10,business_studies,2019,kk
VISION SECONDARY,B,1,9,business_studies,2019,kk
VISION SECONDARY,B-,0,8,business_studies,2019,kk
VISION SECONDARY,C+,0,7,business_studies,2019,kk
VISION SECONDARY,C,4,6,business_studies,2019,kk
VISION SECONDARY,C-,2,5,business_studies,2019,kk
VISION SECONDARY,D+,0,4,business_studies,2019,kk
VISION SECONDARY,D,15,3,business_studies,2019,kk
VISION SECONDARY,D-,27,2,business_studies,2019,kk
VISION SECONDARY,E,11,1,business_studies,2019,kk
VISION SECONDARY,X,1,0,business_studies,2019,kk
VISION SECONDARY,Y,0,0,business_studies,2019,kk
VISION SECONDARY,U,0,0,business_studies,2019,kk
VISION SECONDARY,P,0,0,business_studies,2019,kk
VISION SECONDARY,W,0,0,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,B,4,9,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,B-,0,8,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,C+,3,7,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,C,1,6,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,C-,6,5,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,D+,5,4,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,D,53,3,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,D-,90,2,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,E,24,1,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,business_studies,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,business_studies,2019,kk
GREEN LIGHT SECONDARY,A,0,12,business_studies,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,business_studies,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,business_studies,2019,kk
GREEN LIGHT SECONDARY,B,0,9,business_studies,2019,kk
GREEN LIGHT SECONDARY,B-,1,8,business_studies,2019,kk
GREEN LIGHT SECONDARY,C+,3,7,business_studies,2019,kk
GREEN LIGHT SECONDARY,C,0,6,business_studies,2019,kk
GREEN LIGHT SECONDARY,C-,4,5,business_studies,2019,kk
GREEN LIGHT SECONDARY,D+,3,4,business_studies,2019,kk
GREEN LIGHT SECONDARY,D,18,3,business_studies,2019,kk
GREEN LIGHT SECONDARY,D-,36,2,business_studies,2019,kk
GREEN LIGHT SECONDARY,E,90,1,business_studies,2019,kk
GREEN LIGHT SECONDARY,X,6,0,business_studies,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,business_studies,2019,kk
GREEN LIGHT SECONDARY,U,0,0,business_studies,2019,kk
GREEN LIGHT SECONDARY,P,0,0,business_studies,2019,kk
GREEN LIGHT SECONDARY,W,0,0,business_studies,2019,kk
SOMALI BANTU SECONDARY,A,0,12,business_studies,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,business_studies,2019,kk
SOMALI BANTU SECONDARY,B+,2,10,business_studies,2019,kk
SOMALI BANTU SECONDARY,B,3,9,business_studies,2019,kk
SOMALI BANTU SECONDARY,B-,2,8,business_studies,2019,kk
SOMALI BANTU SECONDARY,C+,2,7,business_studies,2019,kk
SOMALI BANTU SECONDARY,C,5,6,business_studies,2019,kk
SOMALI BANTU SECONDARY,C-,4,5,business_studies,2019,kk
SOMALI BANTU SECONDARY,D+,9,4,business_studies,2019,kk
SOMALI BANTU SECONDARY,D,22,3,business_studies,2019,kk
SOMALI BANTU SECONDARY,D-,37,2,business_studies,2019,kk
SOMALI BANTU SECONDARY,E,66,1,business_studies,2019,kk
SOMALI BANTU SECONDARY,X,10,0,business_studies,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,business_studies,2019,kk
SOMALI BANTU SECONDARY,U,0,0,business_studies,2019,kk
SOMALI BANTU SECONDARY,P,0,0,business_studies,2019,kk
SOMALI BANTU SECONDARY,W,0,0,business_studies,2019,kk
KALOBEYEI SECONDARY,A,0,12,business_studies,2019,kk
KALOBEYEI SECONDARY,A-,0,11,business_studies,2019,kk
KALOBEYEI SECONDARY,B+,0,10,business_studies,2019,kk
KALOBEYEI SECONDARY,B,0,9,business_studies,2019,kk
KALOBEYEI SECONDARY,B-,0,8,business_studies,2019,kk
KALOBEYEI SECONDARY,C+,0,7,business_studies,2019,kk
KALOBEYEI SECONDARY,C,0,6,business_studies,2019,kk
KALOBEYEI SECONDARY,C-,0,5,business_studies,2019,kk
KALOBEYEI SECONDARY,D+,0,4,business_studies,2019,kk
KALOBEYEI SECONDARY,D,2,3,business_studies,2019,kk
KALOBEYEI SECONDARY,D-,2,2,business_studies,2019,kk
KALOBEYEI SECONDARY,E,1,1,business_studies,2019,kk
KALOBEYEI SECONDARY,X,0,0,business_studies,2019,kk
KALOBEYEI SECONDARY,Y,0,0,business_studies,2019,kk
KALOBEYEI SECONDARY,U,0,0,business_studies,2019,kk
KALOBEYEI SECONDARY,P,0,0,business_studies,2019,kk
KALOBEYEI SECONDARY,W,0,0,business_studies,2019,kk
GREEN LIGHT SECONDARY,A,0,12,arabic,2019,kk
GREEN LIGHT SECONDARY,A-,2,11,arabic,2019,kk
GREEN LIGHT SECONDARY,B+,3,10,arabic,2019,kk
GREEN LIGHT SECONDARY,B,1,9,arabic,2019,kk
GREEN LIGHT SECONDARY,B-,0,8,arabic,2019,kk
GREEN LIGHT SECONDARY,C+,2,7,arabic,2019,kk
GREEN LIGHT SECONDARY,C,4,6,arabic,2019,kk
GREEN LIGHT SECONDARY,C-,3,5,arabic,2019,kk
GREEN LIGHT SECONDARY,D+,1,4,arabic,2019,kk
GREEN LIGHT SECONDARY,D,16,3,arabic,2019,kk
GREEN LIGHT SECONDARY,D-,8,2,arabic,2019,kk
GREEN LIGHT SECONDARY,E,3,1,arabic,2019,kk
GREEN LIGHT SECONDARY,X,1,0,arabic,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,arabic,2019,kk
GREEN LIGHT SECONDARY,U,0,0,arabic,2019,kk
GREEN LIGHT SECONDARY,P,0,0,arabic,2019,kk
GREEN LIGHT SECONDARY,W,0,0,arabic,2019,kk
SOMALI BANTU SECONDARY,A,2,12,arabic,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,arabic,2019,kk
SOMALI BANTU SECONDARY,B+,2,10,arabic,2019,kk
SOMALI BANTU SECONDARY,B,2,9,arabic,2019,kk
SOMALI BANTU SECONDARY,B-,5,8,arabic,2019,kk
SOMALI BANTU SECONDARY,C+,6,7,arabic,2019,kk
SOMALI BANTU SECONDARY,C,2,6,arabic,2019,kk
SOMALI BANTU SECONDARY,C-,2,5,arabic,2019,kk
SOMALI BANTU SECONDARY,D+,4,4,arabic,2019,kk
SOMALI BANTU SECONDARY,D,22,3,arabic,2019,kk
SOMALI BANTU SECONDARY,D-,20,2,arabic,2019,kk
SOMALI BANTU SECONDARY,E,11,1,arabic,2019,kk
SOMALI BANTU SECONDARY,X,3,0,arabic,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,arabic,2019,kk
SOMALI BANTU SECONDARY,U,0,0,arabic,2019,kk
SOMALI BANTU SECONDARY,P,0,0,arabic,2019,kk
SOMALI BANTU SECONDARY,W,0,0,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,B,1,9,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,B-,3,8,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,C+,4,7,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,C,0,6,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,C-,2,5,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,D+,1,4,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,D,7,3,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,D-,7,2,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,E,1,1,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,arabic,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,arabic,2019,kk
