school,grade,number_candidates,score,subject,year,area
KAKUMA REFUGEE SECONDARY,A-,0,11,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,B,0,9,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,B-,1,8,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,C+,1,7,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,C,1,6,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,C-,2,5,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,D+,2,4,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,D,29,3,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,D-,126,2,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,E,355,1,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,X,9,0,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,kiswahili,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,kiswahili,2019,kk
GREEN LIGHT SECONDARY,A,0,12,kiswahili,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,kiswahili,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,kiswahili,2019,kk
GREEN LIGHT SECONDARY,B,1,9,kiswahili,2019,kk
GREEN LIGHT SECONDARY,B-,1,8,kiswahili,2019,kk
GREEN LIGHT SECONDARY,C+,2,7,kiswahili,2019,kk
GREEN LIGHT SECONDARY,C,1,6,kiswahili,2019,kk
GREEN LIGHT SECONDARY,C-,5,5,kiswahili,2019,kk
GREEN LIGHT SECONDARY,D+,1,4,kiswahili,2019,kk
GREEN LIGHT SECONDARY,D,27,3,kiswahili,2019,kk
GREEN LIGHT SECONDARY,D-,68,2,kiswahili,2019,kk
GREEN LIGHT SECONDARY,E,266,1,kiswahili,2019,kk
GREEN LIGHT SECONDARY,X,9,0,kiswahili,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,kiswahili,2019,kk
GREEN LIGHT SECONDARY,U,0,0,kiswahili,2019,kk
GREEN LIGHT SECONDARY,P,1,0,kiswahili,2019,kk
GREEN LIGHT SECONDARY,W,0,0,kiswahili,2019,kk
SOMALI BANTU SECONDARY,A,0,12,kiswahili,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,kiswahili,2019,kk
SOMALI BANTU SECONDARY,B+,0,10,kiswahili,2019,kk
SOMALI BANTU SECONDARY,B,0,9,kiswahili,2019,kk
SOMALI BANTU SECONDARY,B-,0,8,kiswahili,2019,kk
SOMALI BANTU SECONDARY,C+,0,7,kiswahili,2019,kk
SOMALI BANTU SECONDARY,C,1,6,kiswahili,2019,kk
SOMALI BANTU SECONDARY,C-,2,5,kiswahili,2019,kk
SOMALI BANTU SECONDARY,D+,1,4,kiswahili,2019,kk
SOMALI BANTU SECONDARY,D,16,3,kiswahili,2019,kk
SOMALI BANTU SECONDARY,D-,57,2,kiswahili,2019,kk
SOMALI BANTU SECONDARY,E,464,1,kiswahili,2019,kk
